en_uri,filename,en_type,en_title,en_date,legislation_uri,legislation_class,legislation_year,legislation_number,legislation_title
http://www.legislation.gov.uk/asp/2000/5/pdfs/aspen_20000005_en.pdf,aspen_20000005_en,Scottish Act Explanatory Note,Explanatory Note,2008-03-02,http://www.legislation.gov.uk/id/asp/2000/5,ScottishAct,2000,5,Abolition of Feudal Tenure etc. (Scotland) Act
http://www.legislation.gov.uk/ukpga/2015/36/pdfs/ukpgaen_20150036_en.pdf,ukpgaen_20150036_en,UK Act Explanatory Note,Explanatory Note,2022-01-13,http://www.legislation.gov.uk/id/ukpga/2015/36,UnitedKingdomPublicGeneralAct,2015,36,European Union Referendum Act 2015
http://www.legislation.gov.uk/asp/2018/8/pdfs/aspen_20180008_en.pdf,aspen_20180008_en,Scottish Act Explanatory Note,Explanatory Note,2018-10-17,http://www.legislation.gov.uk/id/asp/2018/8,ScottishAct,2018,8,Forestry and Land Management (Scotland) Act 2018
http://www.legislation.gov.uk/ukpga/2010/10/pdfs/ukpgaen_20100010_en.pdf,ukpgaen_20100010_en,UK Act Explanatory Note,Explanatory Note,2010-04-06,http://www.legislation.gov.uk/id/ukpga/2010/10,UnitedKingdomPublicGeneralAct,2010,10,Third Parties (Rights against Insurers) Act 2010
http://www.legislation.gov.uk/nia/2016/22/pdfs/niaen_20160022_en.pdf,niaen_20160022_en,NI Act Explanatory Note,Explanatory Note,2016-05-24,http://www.legislation.gov.uk/id/nia/2016/22,NorthernIrelandAct,2016,22,Houses in Multiple Occupation Act (Northern Ireland) 2016
http://www.legislation.gov.uk/asp/2005/6/pdfs/aspen_20050006_en.pdf,aspen_20050006_en,Scottish Act Explanatory Note,Explanatory Note,2008-03-02,http://www.legislation.gov.uk/id/asp/2005/6,ScottishAct,2005,6,Further and Higher Education (Scotland) Act 2005
http://www.legislation.gov.uk/ukpga/2012/21/pdfs/ukpgaen_20120021_en.pdf,ukpgaen_20120021_en,UK Act Explanatory Note,Explanatory Note,2013-01-17,http://www.legislation.gov.uk/id/ukpga/2012/21,UnitedKingdomPublicGeneralAct,2012,21,Financial Services Act 2012
http://www.legislation.gov.uk/asp/2003/17/pdfs/aspen_20030017_en.pdf,aspen_20030017_en,Scottish Act Explanatory Note,Explanatory Note,2008-03-02,http://www.legislation.gov.uk/id/asp/2003/17,ScottishAct,2003,17,Commissioner for Children and Young People (Scotland) Act 2003
http://www.legislation.gov.uk/ukpga/2003/43/pdfs/ukpgaen_20030043_en.pdf,ukpgaen_20030043_en,UK Act Explanatory Note,Explanatory Note,2008-03-02,http://www.legislation.gov.uk/id/ukpga/2003/43,UnitedKingdomPublicGeneralAct,2003,43,Health and Social Care (Community Health and Standards) Act 2003
http://www.legislation.gov.uk/ukpga/2003/17/pdfs/ukpgaen_20030017_en.pdf,ukpgaen_20030017_en,UK Act Explanatory Note,Explanatory Note,2008-03-02,http://www.legislation.gov.uk/id/ukpga/2003/17,UnitedKingdomPublicGeneralAct,2003,17,Licensing Act 2003
http://www.legislation.gov.uk/nia/2010/10/pdfs/niaen_20100010_en.pdf,niaen_20100010_en,NI Act Explanatory Note,Explanatory Note,2010-08-05,http://www.legislation.gov.uk/id/nia/2010/10,NorthernIrelandAct,2010,10,Forestry Act (Northern Ireland) 2010
http://www.legislation.gov.uk/ukpga/2018/28/pdfs/ukpgaen_20180028_en.pdf,ukpgaen_20180028_en,UK Act Explanatory Note,Explanatory Note,2018-11-09,http://www.legislation.gov.uk/id/ukpga/2018/28,UnitedKingdomPublicGeneralAct,2018,28,Northern Ireland (Executive Formation and Exercise of Functions) Act 2018
http://www.legislation.gov.uk/nia/2025/6/pdfs/niaen_20250006_en.pdf,niaen_20250006_en,NI Act Explanatory Note,Explanatory Note,2025-09-29,http://www.legislation.gov.uk/id/nia/2025/6,NorthernIrelandAct,2025,6,Agriculture Act (Northern Ireland) 2025
http://www.legislation.gov.uk/nia/2012/4/pdfs/niaen_20120004_en.pdf,niaen_20120004_en,NI Act Explanatory Note,Explanatory Note,2012-07-27,http://www.legislation.gov.uk/id/nia/2012/4,NorthernIrelandAct,2012,4,Budget (No. 2) Act (Northern Ireland) 2012
http://www.legislation.gov.uk/ukpga/2025/4/pdfs/ukpgaen_20250004_en.pdf,ukpgaen_20250004_en,UK Act Explanatory Note,Explanatory Note,2025-04-01,http://www.legislation.gov.uk/id/ukpga/2025/4,UnitedKingdomPublicGeneralAct,2025,4,Arbitration Act 2025
http://www.legislation.gov.uk/asp/2024/11/pdfs/aspen_20240011_en.pdf,aspen_20240011_en,Scottish Act Explanatory Note,Explanatory Note,2024-10-10,http://www.legislation.gov.uk/id/asp/2024/11,ScottishAct,2024,11,Agriculture and Rural Communities (Scotland) Act 2024
http://www.legislation.gov.uk/ukpga/2004/24/pdfs/ukpgaen_20040024_en.pdf,ukpgaen_20040024_en,UK Act Explanatory Note,Explanatory Note,2008-03-02,http://www.legislation.gov.uk/id/ukpga/2004/24,UnitedKingdomPublicGeneralAct,2004,24,Employment Relations Act 2004
http://www.legislation.gov.uk/ukpga/2017/24/pdfs/ukpgaen_20170024_en.pdf,ukpgaen_20170024_en,UK Act Explanatory Note,Explanatory Note,2017-05-03,http://www.legislation.gov.uk/id/ukpga/2017/24,UnitedKingdomPublicGeneralAct,2017,24,Northern Ireland (Minsiterial Appointments and Regional Rates) Act 2017
http://www.legislation.gov.uk/asp/2014/19/pdfs/aspen_20140019_en.pdf,aspen_20140019_en,Scottish Act Explanatory Note,Explanatory Note,2014-12-23,http://www.legislation.gov.uk/id/asp/2014/19,ScottishAct,2014,19,Historic Environment Scotland Act 2014
http://www.legislation.gov.uk/nia/2009/4/pdfs/niaen_20090004_en.pdf,niaen_20090004_en,NI Act Explanatory Note,Explanatory Note,2009-03-09,http://www.legislation.gov.uk/id/nia/2009/4,NorthernIrelandAct,2009,4,Building Regulations (Amendment) Act (Northern Ireland) 2009
http://www.legislation.gov.uk/ukpga/2006/35/pdfs/ukpgaen_20060035_en.pdf,ukpgaen_20060035_en,UK Act Explanatory Note,Explanatory Note,2008-03-03,http://www.legislation.gov.uk/id/ukpga/2006/35,UnitedKingdomPublicGeneralAct,2006,35,Fraud Act 2006
http://www.legislation.gov.uk/asp/2024/2/pdfs/aspen_20240002_en.pdf,aspen_20240002_en,Scottish Act Explanatory Note,Explanatory Note,2024-06-14,http://www.legislation.gov.uk/id/asp/2024/2,ScottishAct,2024,2,Trusts and Succession (Scotland) Act 2024
http://www.legislation.gov.uk/nia/2011/22/pdfs/niaen_20110022_en.pdf,niaen_20110022_en,NI Act Explanatory Note,Explanatory Note,2011-05-12,http://www.legislation.gov.uk/id/nia/2011/22,NorthernIrelandAct,2011,22,Housing (Amendment) Act (Northern Ireland) 2011
http://www.legislation.gov.uk/ukpga/2003/20/pdfs/ukpgaen_20030020_en.pdf,ukpgaen_20030020_en,UK Act Explanatory Note,Explanatory Note,2008-03-02,http://www.legislation.gov.uk/id/ukpga/2003/20,UnitedKingdomPublicGeneralAct,2003,20,Railways and Transport Safety Act 2003
http://www.legislation.gov.uk/ukpga/2016/20/pdfs/ukpgaen_20160020_en.pdf,ukpgaen_20160020_en,UK Act Explanatory Note,Explanatory Note,2016-05-17,http://www.legislation.gov.uk/id/ukpga/2016/20,UnitedKingdomPublicGeneralAct,2016,20,Energy Act 2016
http://www.legislation.gov.uk/asp/2016/1/pdfs/aspen_20160001_en.pdf,aspen_20160001_en,Scottish Act Explanatory Note,Explanatory Note,2016-05-27,http://www.legislation.gov.uk/id/asp/2016/1,ScottishAct,2016,1,Criminal Justice (Scotland) Act 2016
http://www.legislation.gov.uk/ukpga/2018/31/pdfs/ukpgaen_20180031_en.pdf,ukpgaen_20180031_en,UK Act Explanatory Note,Explanatory Note,2019-01-16,http://www.legislation.gov.uk/id/ukpga/2018/31,UnitedKingdomPublicGeneralAct,2018,31,Health and Social Care (National Data Guardian) Act 2018
http://www.legislation.gov.uk/nia/2001/17/pdfs/niaen_20010017_en.pdf,niaen_20010017_en,NI Act Explanatory Note,Explanatory Note,2008-03-02,http://www.legislation.gov.uk/id/nia/2001/17,NorthernIrelandAct,2001,17,Social Security Fraud Act (Northern-Ireland) 2001
http://www.legislation.gov.uk/ukpga/2007/16/pdfs/ukpgaen_20070016_en.pdf,ukpgaen_20070016_en,UK Act Explanatory Note,Explanatory Note,2008-01-31,http://www.legislation.gov.uk/id/ukpga/2007/16,UnitedKingdomPublicGeneralAct,2007,16,Parliament (Joint Departments) Act 2007
http://www.legislation.gov.uk/asc/2023/4/pdfs/ascen_20230004_en.pdf,ascen_20230004_en,Scottish Church Act Explanatory Note,Explanatory Note,2025-03-07,http://www.legislation.gov.uk/id/asc/2023/4,WelshParliamentAct,2023,4,Agriculture (Wales) Act 2023
http://www.legislation.gov.uk/asc/2023/4/pdfs/ascen_20230004_mi.pdf,ascen_20230004_mi,Scottish Church Act Explanatory Note,Explanatory Note - Mixed Language,2023-09-05,http://www.legislation.gov.uk/id/asc/2023/4,WelshParliamentAct,2023,4,Agriculture (Wales) Act 2023
