ukia_uri,ukia_year,ukia_number,legislation_uri
http://www.legislation.gov.uk/id/ukia/2018/166,2018,166,http://www.legislation.gov.uk/id/uksi/2018/1149
http://www.legislation.gov.uk/id/ukia/2014/227,2014,227,http://www.legislation.gov.uk/id/ukdsi/2014/9780111118238
http://www.legislation.gov.uk/id/ukia/2022/57,2022,57,http://www.legislation.gov.uk/id/uksi/2022/711
http://www.legislation.gov.uk/id/ukia/2012/446,2012,446,
http://www.legislation.gov.uk/id/ukia/2012/169,2012,169,
http://www.legislation.gov.uk/id/ukia/2022/31,2022,31,http://www.legislation.gov.uk/id/uksi/2022/296
http://www.legislation.gov.uk/id/ukia/2020/109,2020,109,http://www.legislation.gov.uk/id/uksi/2020/756
http://www.legislation.gov.uk/id/ukia/2010/388,2010,388,http://www.legislation.gov.uk/id/ukdsi/2011/9780111506028
http://www.legislation.gov.uk/id/ukia/2015/259,2015,259,http://www.legislation.gov.uk/id/uksi/2015/1562
http://www.legislation.gov.uk/id/ukia/2019/120,2019,120,http://www.legislation.gov.uk/id/uksi/2019/780
http://www.legislation.gov.uk/id/ukia/2010/310,2010,310,
http://www.legislation.gov.uk/id/ukia/2021/25,2021,25,http://www.legislation.gov.uk/id/ukdsi/2021/9780348222920
http://www.legislation.gov.uk/id/ukia/2014/99,2014,99,http://www.legislation.gov.uk/id/ukdsi/2014/9780111112717
http://www.legislation.gov.uk/id/ukia/2012/191,2012,191,
http://www.legislation.gov.uk/id/ukia/2014/73,2014,73,http://www.legislation.gov.uk/id/uksi/2014/573
http://www.legislation.gov.uk/id/ukia/2013/123,2013,123,http://www.legislation.gov.uk/id/uksi/2013/1764
http://www.legislation.gov.uk/id/ukia/2020/19,2020,19,http://www.legislation.gov.uk/id/uksi/2020/233
http://www.legislation.gov.uk/id/ukia/2008/273,2008,273,
http://www.legislation.gov.uk/id/ukia/2015/281,2015,281,http://www.legislation.gov.uk/id/uksi/2015/1695
http://www.legislation.gov.uk/id/ukia/2009/205,2009,205,
http://www.legislation.gov.uk/id/ukia/2011/342,2011,342,http://www.legislation.gov.uk/id/ukdsi/2012/9780111519875
http://www.legislation.gov.uk/id/ukia/2016/213,2016,213,http://www.legislation.gov.uk/id/uksi/2016/1061
http://www.legislation.gov.uk/id/ukia/2013/67,2013,67,
http://www.legislation.gov.uk/id/ukia/2013/41,2013,41,http://www.legislation.gov.uk/id/ukdsi/2013/9780111100325
http://www.legislation.gov.uk/id/ukia/2014/155,2014,155,http://www.legislation.gov.uk/id/uksi/2014/1372
http://www.legislation.gov.uk/id/ukia/2013/1016,2013,1016,http://www.legislation.gov.uk/id/ukdsi/2013/9780111533673
http://www.legislation.gov.uk/id/ukia/2010/216,2010,216,
http://www.legislation.gov.uk/id/ukia/2012/374,2012,374,http://www.legislation.gov.uk/id/uksi/2012/2134
http://www.legislation.gov.uk/id/ukia/2022/81,2022,81,http://www.legislation.gov.uk/id/ukdsi/2022/9780348239645
http://www.legislation.gov.uk/id/ukia/2012/35,2012,35,
http://www.legislation.gov.uk/id/ukia/2008/179,2008,179,http://www.legislation.gov.uk/id/uksi/2015/618
http://www.legislation.gov.uk/id/ukia/2015/187,2015,187,http://www.legislation.gov.uk/id/uksi/2015/875
http://www.legislation.gov.uk/id/ukia/2021/75,2021,75,http://www.legislation.gov.uk/id/uksi/2021/1108
http://www.legislation.gov.uk/id/ukia/2011/525,2011,525,http://www.legislation.gov.uk/id/uksi/2011/463
http://www.legislation.gov.uk/id/ukia/2008/101,2008,101,http://www.legislation.gov.uk/id/uksi/2009/1299
http://www.legislation.gov.uk/id/ukia/2011/29,2011,29,
http://www.legislation.gov.uk/id/ukia/2011/248,2011,248,
http://www.legislation.gov.uk/id/ukia/2016/119,2016,119,http://www.legislation.gov.uk/id/uksi/2016/562
http://www.legislation.gov.uk/id/ukia/2023/127,2023,127,http://www.legislation.gov.uk/id/uksi/2013/1471
http://www.legislation.gov.uk/id/ukia/2014/338,2014,338,http://www.legislation.gov.uk/id/ukdsi/2014/9780111123683
http://www.legislation.gov.uk/id/ukia/2020/43,2020,43,http://www.legislation.gov.uk/id/uksi/2020/632
http://www.legislation.gov.uk/id/ukia/2009/133,2009,133,
http://www.legislation.gov.uk/id/ukia/2011/270,2011,270,
http://www.legislation.gov.uk/id/ukia/2016/141,2016,141,http://www.legislation.gov.uk/id/nisr/2016/240
